vertices;density;time
20;25;38
40;25;304
60;25;989
80;25;2170
100;25;4385
120;25;6918
140;25;10840
160;25;16133
180;25;23229
200;25;31092
20;50;33
40;50;314
60;50;1045
80;50;2156
100;50;4251
120;50;7195
140;50;11038
160;50;16665
180;50;22912
200;50;31520
20;75;36
40;75;299
60;75;976
80;75;2131
100;75;4216
120;75;7079
140;75;11335
160;75;16558
180;75;22733
200;75;31364
20;99;39
40;99;300
60;99;1037
80;99;2256
100;99;4199
120;99;6977
140;99;11258
160;99;16052
180;99;22647
200;99;30888
