vertices;density;time
20;25;34
40;25;76
60;25;252
80;25;205
100;25;299
120;25;419
140;25;565
160;25;692
180;25;719
200;25;977
20;50;29
40;50;65
60;50;132
80;50;191
100;50;291
120;50;487
140;50;521
160;50;599
180;50;867
200;50;971
20;75;27
40;75;77
60;75;165
80;75;198
100;75;315
120;75;389
140;75;548
160;75;591
180;75;797
200;75;845
20;99;31
40;99;85
60;99;184
80;99;189
100;99;298
120;99;387
140;99;591
160;99;591
180;99;793
200;99;863
