vertices;density;time
20;25;18
40;25;49
60;25;120
80;25;190
100;25;244
120;25;306
140;25;397
160;25;559
180;25;640
200;25;807
20;50;16
40;50;49
60;50;97
80;50;164
100;50;295
120;50;322
140;50;501
160;50;504
180;50;635
200;50;762
20;75;16
40;75;51
60;75;107
80;75;168
100;75;242
120;75;313
140;75;408
160;75;557
180;75;705
200;75;776
20;99;18
40;99;46
60;99;97
80;99;153
100;99;260
120;99;420
140;99;415
160;99;501
180;99;681
200;99;825
