vertices;density;time
20;25;25
40;25;54
60;25;85
80;25;162
100;25;206
120;25;232
140;25;286
160;25;452
180;25;423
200;25;543
20;50;20
40;50;44
60;50;80
80;50;124
100;50;226
120;50;281
140;50;324
160;50;363
180;50;451
200;50;529
20;75;19
40;75;56
60;75;131
80;75;131
100;75;195
120;75;271
140;75;293
160;75;379
180;75;445
200;75;514
20;99;24
40;99;46
60;99;90
80;99;134
100;99;186
120;99;261
140;99;298
160;99;356
180;99;455
200;99;571
