vertices;density;time
20;25;16
40;25;41
60;25;80
80;25;133
100;25;194
120;25;243
140;25;322
160;25;439
180;25;607
200;25;771
20;50;13
40;50;36
60;50;75
80;50;124
100;50;194
120;50;262
140;50;369
160;50;441
180;50;506
200;50;608
20;75;14
40;75;36
60;75;93
80;75;137
100;75;191
120;75;254
140;75;325
160;75;444
180;75;534
200;75;612
20;99;16
40;99;34
60;99;77
80;99;126
100;99;210
120;99;271
140;99;342
160;99;404
180;99;506
200;99;682
