vertices;density;time
20;25;16
40;25;53
60;25;83
80;25;131
100;25;191
120;25;266
140;25;536
160;25;448
180;25;553
200;25;682
20;50;12
40;50;38
60;50;84
80;50;133
100;50;200
120;50;308
140;50;357
160;50;507
180;50;595
200;50;687
20;75;14
40;75;57
60;75;93
80;75;133
100;75;205
120;75;295
140;75;464
160;75;495
180;75;560
200;75;689
20;99;15
40;99;36
60;99;81
80;99;135
100;99;217
120;99;272
140;99;371
160;99;482
180;99;696
200;99;742
