vertices;density;time
20;25;18
40;25;46
60;25;133
80;25;109
100;25;128
120;25;182
140;25;207
160;25;317
180;25;356
200;25;489
20;50;18
40;50;40
60;50;75
80;50;105
100;50;129
120;50;191
140;50;214
160;50;265
180;50;304
200;50;359
20;75;18
40;75;45
60;75;67
80;75;111
100;75;149
120;75;246
140;75;214
160;75;256
180;75;311
200;75;354
20;99;21
40;99;40
60;99;66
80;99;98
100;99;139
120;99;194
140;99;207
160;99;278
180;99;303
200;99;396
